rank,course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
224,3240292,משפט שוויון וצדק חברתי,201401 to 202501,22,94.005,2124,99.256,3.714,14,https://michael-maltsev.github.io/technion-histograms/03240292/,https://cheesefork.cf/?course=03240292&semester=202502
225,460195,מערכות לומדות,201401 to 202402,20,79.155,2886,95.295,3.722,36,https://michael-maltsev.github.io/technion-histograms/00460195/,https://cheesefork.cf/?course=00460195&semester=202502
226,3940803,חינוך גופני,201401 to 202501,22,94.227,11541,99.36,3.727,55,https://michael-maltsev.github.io/technion-histograms/03940803/,https://cheesefork.cf/?course=03940803&semester=202502
227,3240282,פוליטיקה של זהויות בישראל,201802 to 202402,12,96.596,290,100,3.733,15,https://michael-maltsev.github.io/technion-histograms/03240282/,https://cheesefork.cf/?course=03240282&semester=202502
228,840213,תרמודינמיקה,201501 to 202401,11,81.288,781,96.303,3.741,27,https://michael-maltsev.github.io/technion-histograms/00840213/,https://cheesefork.cf/?course=00840213&semester=202501
229,1140071,פיסיקה 1מ,200502 to 202501,45,72.896,17794,85.379,3.741,201,https://michael-maltsev.github.io/technion-histograms/01140071/,https://cheesefork.cf/?course=01140071&semester=202502
230,440131,אותות ומערכות,201801 to 202501,16,80.602,3738,93.749,3.744,78,https://michael-maltsev.github.io/technion-histograms/00440131/,https://cheesefork.cf/?course=00440131&semester=202502
231,940241,ניהול מסדי נתונים,201602 to 202402,16,77.794,1733,93.38,3.766,47,https://michael-maltsev.github.io/technion-histograms/00940241/,https://cheesefork.cf/?course=00940241&semester=202502
232,140004,נתוח מערכות,201601 to 202401,16,77.306,1698,92.703,3.769,13,https://michael-maltsev.github.io/technion-histograms/00140004/,https://cheesefork.cf/?course=00140004&semester=202502
233,2340218,מבני נתונים 1,201401 to 202402,24,75.357,6590,89.328,3.774,155,https://michael-maltsev.github.io/technion-histograms/02340218/,https://cheesefork.cf/?course=02340218&semester=202502
234,940481,מבוא להסתברות וסטטיסטיקה,201402 to 202501,28,78.881,3470,92.399,3.778,27,https://michael-maltsev.github.io/technion-histograms/00940481/,https://cheesefork.cf/?course=00940481&semester=202502
235,1040013,חשבון דיפרנציאלי ואינטגרלי 2ת',201101 to 202402,32,71.686,10325,83.15,3.78,123,https://michael-maltsev.github.io/technion-histograms/01040013/,https://cheesefork.cf/?course=01040013&semester=202502
236,840311,אוירודינמיקה בלתי דחיסה,200401 to 202402,14,71.693,928,86.978,3.786,14,https://michael-maltsev.github.io/technion-histograms/00840311/,https://cheesefork.cf/?course=00840311&semester=202502
237,840314,זרימה צמיגה ומעבר חום,201502 to 202401,10,77.541,691,94.096,3.786,14,https://michael-maltsev.github.io/technion-histograms/00840314/,https://cheesefork.cf/?course=00840314&semester=202501
238,1040131,משוואות דיפרנציאליות רגילות/ח,201001 to 202501,36,74.693,11007,86.632,3.789,71,https://michael-maltsev.github.io/technion-histograms/01040131/,https://cheesefork.cf/?course=01040131&semester=202502
239,1140073,פיזיקה קוונטית להנדסה,201202 to 202402,25,77.492,4066,91.108,3.792,48,https://michael-maltsev.github.io/technion-histograms/01140073/,https://cheesefork.cf/?course=01140073&semester=202502
240,140149,מבני בטון 2,201601 to 202401,9,69.822,1092,86.484,3.8,10,https://michael-maltsev.github.io/technion-histograms/00140149/,https://cheesefork.cf/?course=00140149&semester=202501
241,560391,חיישנים מבוססי ננו,201502 to 202401,10,94.522,1371,99.673,3.8,10,https://michael-maltsev.github.io/technion-histograms/00560391/,https://cheesefork.cf/?course=00560391&semester=202502
242,2360343,תורת החישוביות,201502 to 202402,19,71.4,4354,84.342,3.814,70,https://michael-maltsev.github.io/technion-histograms/02360343/,https://cheesefork.cf/?course=02360343&semester=202502
243,1140052,פיסיקה 2,201001 to 202501,36,74.931,11834,87.757,3.817,115,https://michael-maltsev.github.io/technion-histograms/01140052/,https://cheesefork.cf/?course=01140052&semester=202502
244,640212,טכנולוגיה של מזון,201601 to 202401,9,80.072,681,97.507,3.818,11,https://michael-maltsev.github.io/technion-histograms/00640212/,https://cheesefork.cf/?course=00640212&semester=202501
245,2340129,"מב.לתורת הקבוצות ואוטומטים למדמ""ח",201801 to 202402,14,77.59,4402,86.761,3.822,135,https://michael-maltsev.github.io/technion-histograms/02340129/,https://cheesefork.cf/?course=02340129&semester=202502
246,1040016,אלגברה 1/מורחב,200601 to 202402,33,71.612,16568,85.119,3.837,147,https://michael-maltsev.github.io/technion-histograms/01040016/,https://cheesefork.cf/?course=01040016&semester=202502
247,140102,מבוא למכניקה הנדסית,202301 to 202402,4,58.255,515,60.623,3.846,13,https://michael-maltsev.github.io/technion-histograms/00140102/,https://cheesefork.cf/?course=00140102&semester=202502
248,940222,הנדסת מערכות מבוססת מודלים,201501 to 202401,13,90.221,1164,100,3.85,20,https://michael-maltsev.github.io/technion-histograms/00940222/,https://cheesefork.cf/?course=00940222&semester=202501
249,340055,תורת הזרימה 1מ',202201 to 202402,5,81.845,430,92.051,3.867,15,https://michael-maltsev.github.io/technion-histograms/00340055/,https://cheesefork.cf/?course=00340055&semester=202502
250,1040158,מבוא לחבורות,202001 to 202402,10,77.106,520,84.548,3.87,23,https://michael-maltsev.github.io/technion-histograms/01040158/,https://cheesefork.cf/?course=01040158&semester=202502
251,1340058,ביולוגיה 1,200802 to 202501,36,81.028,11623,92.1,3.87,146,https://michael-maltsev.github.io/technion-histograms/01340058/,https://cheesefork.cf/?course=01340058&semester=202502
252,1040044,חשבון דיפרנציאלי ואינטגרלי 2מ2,202202 to 202402,3,63.841,723,73.375,3.875,24,https://michael-maltsev.github.io/technion-histograms/01040044/,https://cheesefork.cf/?course=01040044&semester=202502
253,2340125,אלגוריתמים נומריים,201701 to 202402,16,77.717,4462,90.429,3.902,92,https://michael-maltsev.github.io/technion-histograms/02340125/,https://cheesefork.cf/?course=02340125&semester=202502
254,1040122,תורת הפונקציות 1,201502 to 202501,19,78.31,809,86.901,3.909,22,https://michael-maltsev.github.io/technion-histograms/01040122/,https://cheesefork.cf/?course=01040122&semester=202502
255,2360491,תכנות מאובטח,202101 to 202401,4,80.965,214,92.888,3.909,11,https://michael-maltsev.github.io/technion-histograms/02360491/,https://cheesefork.cf/?course=02360491&semester=202501
256,3240630,איטלקית למתחילים 1,201502 to 202501,19,89.946,509,98.794,3.909,11,https://michael-maltsev.github.io/technion-histograms/03240630/,https://cheesefork.cf/?course=03240630&semester=202502
257,140006,מבוא לשיטות נומריות,201502 to 202402,16,75.442,1993,93.395,3.929,14,https://michael-maltsev.github.io/technion-histograms/00140006/,https://cheesefork.cf/?course=00140006&semester=202502
258,1040222,תורת ההסתברות,201202 to 202501,20,75.361,952,86.628,3.931,29,https://michael-maltsev.github.io/technion-histograms/01040222/,https://cheesefork.cf/?course=01040222&semester=202502
259,3140006,אפיון מבנה והרכב חומרים,201601 to 202501,10,80.82,518,93.779,3.933,15,https://michael-maltsev.github.io/technion-histograms/03140006/,https://cheesefork.cf/?course=03140006&semester=202501
260,440139,ממירי מתח ממותגים,201901 to 202501,7,82.196,667,92.369,3.95,20,https://michael-maltsev.github.io/technion-histograms/00440139/,https://cheesefork.cf/?course=00440139&semester=202501
261,1040066,אלגברה א',202101 to 202501,9,67.326,703,70.509,3.952,42,https://michael-maltsev.github.io/technion-histograms/01040066/,https://cheesefork.cf/?course=01040066&semester=202502
262,460200,עבוד ונתוח תמונות,200401 to 202402,23,78.725,2553,95.412,3.962,26,https://michael-maltsev.github.io/technion-histograms/00460200/,https://cheesefork.cf/?course=00460200&semester=202502
263,940591,מבוא לכלכלה,201101 to 202402,34,80.418,8154,92.131,3.989,87,https://michael-maltsev.github.io/technion-histograms/00940591/,https://cheesefork.cf/?course=00940591&semester=202502
264,440252,מערכות ספרתיות ומבנה המחשב,201702 to 202501,21,79.275,7141,89.244,3.994,170,https://michael-maltsev.github.io/technion-histograms/00440252/,https://cheesefork.cf/?course=00440252&semester=202502
265,140003,סטטיסטיקה,201401 to 202501,23,78.506,2722,94.885,4,13,https://michael-maltsev.github.io/technion-histograms/00140003/,https://cheesefork.cf/?course=00140003&semester=202502
266,140008,מידע גרפי הנדסי,201201 to 202402,22,79.212,2661,94.061,4,35,https://michael-maltsev.github.io/technion-histograms/00140008/,https://cheesefork.cf/?course=00140008&semester=202502
267,340035,תרמודינמיקה 1,201401 to 202401,18,72.332,1975,86.211,4,35,https://michael-maltsev.github.io/technion-histograms/00340035/,https://cheesefork.cf/?course=00340035&semester=202502
268,460279,חישוב מקבילי מואץ,202202 to 202302,2,87.239,71,98.282,4,10,https://michael-maltsev.github.io/technion-histograms/00460279/,https://cheesefork.cf/?course=00460279&semester=202502
269,1040142,מבוא למרחבים מטריים וטופולוגיים,201202 to 202402,20,73.413,826,84.52,4,31,https://michael-maltsev.github.io/technion-histograms/01040142/,https://cheesefork.cf/?course=01040142&semester=202502
270,3140011,מבנה ותכונות של חומרים הנדסיים,201402 to 202402,14,80.958,853,96.077,4,20,https://michael-maltsev.github.io/technion-histograms/03140011/,https://cheesefork.cf/?course=03140011&semester=202502
271,340053,מכניקת מוצקים 2מ,202201 to 202402,6,66.776,472,80.281,4.04,25,https://michael-maltsev.github.io/technion-histograms/00340053/,https://cheesefork.cf/?course=00340053&semester=202502
272,940202,מבוא לניתוח נתונים,201902 to 202402,6,80.316,725,92.022,4.04,25,https://michael-maltsev.github.io/technion-histograms/00940202/,https://cheesefork.cf/?course=00940202&semester=202502
273,1040019,אלגברה ליניארית מ',201401 to 202501,23,73.4,7687,87.892,4.047,128,https://michael-maltsev.github.io/technion-histograms/01040019/,https://cheesefork.cf/?course=01040019&semester=202502
274,2360350,הגנה ברשתות,201501 to 202402,18,78.454,2505,93.717,4.047,43,https://michael-maltsev.github.io/technion-histograms/02360350/,https://cheesefork.cf/?course=02360350&semester=202502
275,1140020,מעבדה לפיסיקה 1מ',201002 to 202501,23,93.828,1960,99.699,4.05,40,https://michael-maltsev.github.io/technion-histograms/01140020/,https://cheesefork.cf/?course=01140020&semester=202502
276,3240267,יחסי גוף נפש:מאפלטון ועד מדעי המח,202001 to 202501,7,91.464,407,99.676,4.056,18,https://michael-maltsev.github.io/technion-histograms/03240267/,https://cheesefork.cf/?course=03240267&semester=202502
277,3940800,חינוך גופני,201401 to 202402,21,94.322,5847,99.516,4.062,16,https://michael-maltsev.github.io/technion-histograms/03940800/,https://cheesefork.cf/?course=03940800&semester=202502
278,440157,מעבדה בהנדסת חשמל 1א,201801 to 202501,21,96.038,2595,99.392,4.065,31,https://michael-maltsev.github.io/technion-histograms/00440157/,https://cheesefork.cf/?course=00440157&semester=202502
279,840515,מבוא לתורת האלסטיות,201802 to 202402,7,84.054,542,98.524,4.071,14,https://michael-maltsev.github.io/technion-histograms/00840515/,https://cheesefork.cf/?course=00840515&semester=202502
280,3940802,חינוך גופני,201401 to 202501,22,94.469,6707,99.174,4.071,42,https://michael-maltsev.github.io/technion-histograms/03940802/,https://cheesefork.cf/?course=03940802&semester=202502
281,940424,סטטיסטיקה 1,202101 to 202501,11,76.838,939,93.904,4.073,41,https://michael-maltsev.github.io/technion-histograms/00940424/,https://cheesefork.cf/?course=00940424&semester=202502
282,1040286,קומבינטוריקה,201202 to 202402,23,70.748,891,82.749,4.083,24,https://michael-maltsev.github.io/technion-histograms/01040286/,https://cheesefork.cf/?course=01040286&semester=202502
283,1140074,פיסיקה 1פ',201101 to 202501,15,69.724,2715,78.508,4.097,93,https://michael-maltsev.github.io/technion-histograms/01140074/,https://cheesefork.cf/?course=01140074&semester=202501
284,960600,התנהגות ארגונית,201601 to 202401,11,83.709,894,97.925,4.1,10,https://michael-maltsev.github.io/technion-histograms/00960600/,https://cheesefork.cf/?course=00960600&semester=202501
285,3340009,מכניקת זורמים ביולוגיים,202201 to 202501,4,83.681,417,90.576,4.1,10,https://michael-maltsev.github.io/technion-histograms/03340009/,https://cheesefork.cf/?course=03340009&semester=202501
286,1150203,פיסיקה קוונטית 1,200901 to 202402,13,77.71,1828,89.785,4.105,38,https://michael-maltsev.github.io/technion-histograms/01150203/,https://cheesefork.cf/?course=01150203&semester=202502
287,3940801,חינוך גופני,201401 to 202501,22,94.53,8741,99.652,4.106,47,https://michael-maltsev.github.io/technion-histograms/03940801/,https://cheesefork.cf/?course=03940801&semester=202502
288,840312,"זרימה דחיסה, כונסים ונחירים",201502 to 202501,12,74.836,829,90.215,4.118,17,https://michael-maltsev.github.io/technion-histograms/00840312/,https://cheesefork.cf/?course=00840312&semester=202501
289,1140051,פיסיקה 1,200602 to 202501,38,75.511,12043,89.16,4.121,198,https://michael-maltsev.github.io/technion-histograms/01140051/,https://cheesefork.cf/?course=01140051&semester=202502
290,1040195,חשבון אינפיניטסימלי 1,200502 to 202501,28,68.569,1890,76.762,4.145,69,https://michael-maltsev.github.io/technion-histograms/01040195/,https://cheesefork.cf/?course=01040195&semester=202502
291,1140101,מכניקה אנליטית,200901 to 202401,13,78.654,1625,95.058,4.147,34,https://michael-maltsev.github.io/technion-histograms/01140101/,https://cheesefork.cf/?course=01140101&semester=202501
292,3240439,יסודות באמנות יפן,201503 to 202401,8,93.455,484,100,4.15,20,https://michael-maltsev.github.io/technion-histograms/03240439/,https://cheesefork.cf/?course=03240439&semester=202502
293,3940805,חינוך גופני,200902 to 202501,24,95.657,8546,99.348,4.16,25,https://michael-maltsev.github.io/technion-histograms/03940805/,https://cheesefork.cf/?course=03940805&semester=202502
294,440105,תורת המעגלים החשמליים,201201 to 202402,26,78.894,6953,88.75,4.163,92,https://michael-maltsev.github.io/technion-histograms/00440105/,https://cheesefork.cf/?course=00440105&semester=202502
295,940333,מודלים דינמיים בחקר ביצועים,201801 to 202301,8,81.293,639,96.069,4.167,12,https://michael-maltsev.github.io/technion-histograms/00940333/,https://cheesefork.cf/?course=00940333&semester=202501
296,1240305,כימיה אי,201601 to 202401,10,87.459,431,95.309,4.167,18,https://michael-maltsev.github.io/technion-histograms/01240305/,https://cheesefork.cf/?course=01240305&semester=202501
297,1140248,פיסיקה 1 ר,201501 to 202501,10,89.424,1066,98.237,4.182,11,https://michael-maltsev.github.io/technion-histograms/01140248/,https://cheesefork.cf/?course=01140248&semester=202501
298,940569,שוק ההון וההשקעות,201602 to 202401,8,86.733,526,98.441,4.2,10,https://michael-maltsev.github.io/technion-histograms/00940569/,https://cheesefork.cf/?course=00940569&semester=202501
299,3260009,תיאוריות אנתרופולוגיות,202302 to 202402,3,91.613,185,99.459,4.2,10,https://michael-maltsev.github.io/technion-histograms/03260009/,https://cheesefork.cf/?course=03260009&semester=202501
300,1040174,אלגברה במ',201601 to 202402,18,72.014,1231,82.584,4.24,25,https://michael-maltsev.github.io/technion-histograms/01040174/,https://cheesefork.cf/?course=01040174&semester=202502
301,640523,מבוא לביוטכנולוגיה מולקולרית,201601 to 202501,10,78.62,773,88.158,4.273,11,https://michael-maltsev.github.io/technion-histograms/00640523/,https://cheesefork.cf/?course=00640523&semester=202501
302,3340023,מבוא לסטטיסטיקה להנ. ביו,202102 to 202402,4,84.584,357,97.415,4.273,11,https://michael-maltsev.github.io/technion-histograms/03340023/,https://cheesefork.cf/?course=03340023&semester=202502
303,1150204,פיסיקה קוונטית 2,200902 to 202401,13,79.73,1495,91.509,4.281,32,https://michael-maltsev.github.io/technion-histograms/01150204/,https://cheesefork.cf/?course=01150204&semester=202501
304,3940820,חינוך גופני,200901 to 202501,22,95.068,4363,99.617,4.286,42,https://michael-maltsev.github.io/technion-histograms/03940820/,https://cheesefork.cf/?course=03940820&semester=202502
305,450002,מבט,202201 to 202401,3,93.909,508,98.894,4.303,33,https://michael-maltsev.github.io/technion-histograms/00450002/,https://cheesefork.cf/?course=00450002&semester=202501
306,840220,מכניקת הטיס 1,201502 to 202401,10,80.51,691,92.755,4.308,13,https://michael-maltsev.github.io/technion-histograms/00840220/,https://cheesefork.cf/?course=00840220&semester=202501
307,2140120,יסודות למידה והוראה,201901 to 202402,12,99.603,1067,99.668,4.318,22,https://michael-maltsev.github.io/technion-histograms/02140120/,https://cheesefork.cf/?course=02140120&semester=202502
308,460243,טכנולוגיות קוונטיות,201901 to 202402,11,85.126,325,94.932,4.333,18,https://michael-maltsev.github.io/technion-histograms/00460243/,https://cheesefork.cf/?course=00460243&semester=202502
309,1040064,אלגברה 1מ1,202301 to 202501,3,75.787,1632,87.484,4.34,50,https://michael-maltsev.github.io/technion-histograms/01040064/,https://cheesefork.cf/?course=01040064&semester=202501
310,3240540,היבטים משפטיים ביזמות עסקית,202101 to 202302,4,93.111,359,100,4.346,26,https://michael-maltsev.github.io/technion-histograms/03240540/,https://cheesefork.cf/?course=03240540&semester=202502
311,2750112,אבולוציה של האדם,202202 to 202302,2,94.515,536,100,4.35,20,https://michael-maltsev.github.io/technion-histograms/02750112/,https://cheesefork.cf/?course=02750112&semester=202502
312,1040281,חשבון אינפי 2,201201 to 202402,23,72.37,1397,81.722,4.373,51,https://michael-maltsev.github.io/technion-histograms/01040281/,https://cheesefork.cf/?course=01040281&semester=202502
313,140618,מבוא לניהול ובטיחות בבנייה,201901 to 202402,7,81.608,1110,98.532,4.375,16,https://michael-maltsev.github.io/technion-histograms/00140618/,https://cheesefork.cf/?course=00140618&semester=202502
314,1140036,פיסיקה סטטיסטית ותרמית,201402 to 202402,11,79.652,1366,92.006,4.375,24,https://michael-maltsev.github.io/technion-histograms/01140036/,https://cheesefork.cf/?course=01140036&semester=202502
315,460042,מבוא למערכות הספק ורשת חכמה,201701 to 202401,8,87.678,692,96.301,4.4,10,https://michael-maltsev.github.io/technion-histograms/00460042/,https://cheesefork.cf/?course=00460042&semester=202501
316,3940808,חינוך גופני,201401 to 202501,22,94.123,3174,99.587,4.4,40,https://michael-maltsev.github.io/technion-histograms/03940808/,https://cheesefork.cf/?course=03940808&semester=202502
317,1340082,ביולוגיה מולקולרית,201101 to 202401,11,81.238,728,96.852,4.417,12,https://michael-maltsev.github.io/technion-histograms/01340082/,https://cheesefork.cf/?course=01340082&semester=202501
318,3940804,חינוך גופני,201401 to 202501,21,94.717,6002,99.775,4.467,30,https://michael-maltsev.github.io/technion-histograms/03940804/,https://cheesefork.cf/?course=03940804&semester=202502
319,3240299,"טרור, ג'יהד ותגובה מדינית",201902 to 202501,8,91.615,314,99.368,4.5,12,https://michael-maltsev.github.io/technion-histograms/03240299/,https://cheesefork.cf/?course=03240299&semester=202502
320,1140054,פיסיקה 3,201401 to 202501,32,85.271,6241,96.274,4.524,63,https://michael-maltsev.github.io/technion-histograms/01140054/,https://cheesefork.cf/?course=01140054&semester=202502
321,3240692,סינית למתחילים,201402 to 202501,19,97.066,496,99.181,4.7,10,https://michael-maltsev.github.io/technion-histograms/03240692/,https://cheesefork.cf/?course=03240692&semester=202502
322,3240600,גרמנית 1,201502 to 202501,16,94.294,759,99.605,4.714,14,https://michael-maltsev.github.io/technion-histograms/03240600/,https://cheesefork.cf/?course=03240600&semester=202502
323,450001,פרויקט מבוא בהנדסת חשמל ומחשבים,201401 to 202501,17,96.015,736,100,4.727,11,https://michael-maltsev.github.io/technion-histograms/00450001/,https://cheesefork.cf/?course=00450001&semester=202502
324,350026,מבוא יצירתי להנדסת מכונות,201301 to 202501,15,92.039,660,99.705,4.769,13,https://michael-maltsev.github.io/technion-histograms/00350026/,https://cheesefork.cf/?course=00350026&semester=202501
325,3240261,אחריות מקצועית:דילמות חוק ואתיקה,201902 to 202403,7,97.779,369,93.805,4.786,14,https://michael-maltsev.github.io/technion-histograms/03240261/,https://cheesefork.cf/?course=03240261&semester=202403
326,3240432,פסיכולוגיה של המוזיקה,201501 to 202501,11,97.788,547,99.817,4.923,13,https://michael-maltsev.github.io/technion-histograms/03240432/,https://cheesefork.cf/?course=03240432&semester=202501
327,3240298,"מן התנ""ך ועד למשפט הישראלי החדשני",201402 to 202501,20,97.914,1258,99.752,5,12,https://michael-maltsev.github.io/technion-histograms/03240298/,https://cheesefork.cf/?course=03240298&semester=202501
