course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00140309,טכנולוגיות מים ושפכים,202101 to 202301,3,83.956,45,100.000,5.000,1,https://michael-maltsev.github.io/technion-histograms/00140309/,https://cheesefork.cf/?course=00140309&semester=202501
00140313,מיקרוביולוגיה סביבתית ואפידמיולוג,201701 to 202101,4,88.987,76,100.000,3.333,3,https://michael-maltsev.github.io/technion-histograms/00140313/,https://cheesefork.cf/?course=00140313&semester=202502
00140316,מבוא להנדסת הסביבה,201602 to 202402,10,80.856,1519,96.583,5.000,2,https://michael-maltsev.github.io/technion-histograms/00140316/,https://cheesefork.cf/?course=00140316&semester=202501
00140321,טוקסיקולוגיה סביבתית,201801 to 202301,6,81.360,153,98.647,4.250,4,https://michael-maltsev.github.io/technion-histograms/00140321/,https://cheesefork.cf/?course=00140321&semester=202501
00140322,יסודות הטיפול במים ושפכים,201601 to 202301,8,82.004,252,96.536,4.500,2,https://michael-maltsev.github.io/technion-histograms/00140322/,https://cheesefork.cf/?course=00140322&semester=202402
00140324,מחקר אישי בהנ.מים וסב' למצטיינים,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140324/,https://cheesefork.cf/?course=00140324&semester=202501
00140325,תכן מערכות אספקת מים ואיסוף שפכים,201602 to 201902,2,85.107,47,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140325/,https://cheesefork.cf/?course=00140325&semester=202502
00140327,כימיה של המים,201502 to 202302,9,78.631,265,94.800,4.200,5,https://michael-maltsev.github.io/technion-histograms/00140327/,https://cheesefork.cf/?course=00140327&semester=202402
00140330,תהליכים בים סוף ומפרץ אילת,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140330/,https://cheesefork.cf/?course=00140330&semester=202401
00140332,כימיה של המים,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140332/,https://cheesefork.cf/?course=00140332&semester=202502
00140333,כימיה של המים מ',,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140333/,https://cheesefork.cf/?course=00140333&semester=202502
00140405,גיאולוגיה הנדסית,201502 to 202402,11,75.839,1864,95.925,3.800,5,https://michael-maltsev.github.io/technion-histograms/00140405/,https://cheesefork.cf/?course=00140405&semester=202502
00140409,גיאומכניקה,201101 to 202401,11,75.152,1876,90.405,3.857,7,https://michael-maltsev.github.io/technion-histograms/00140409/,https://cheesefork.cf/?course=00140409&semester=202501
00140411,הנדסת קרקע,201102 to 202402,11,73.370,1459,92.542,3.000,5,https://michael-maltsev.github.io/technion-histograms/00140411/,https://cheesefork.cf/?course=00140411&semester=202502
00140412,יסודות הטיפול במים ושפכים,202401 to 202401,1,73.556,19,84.000,,0,https://michael-maltsev.github.io/technion-histograms/00140412/,https://cheesefork.cf/?course=00140412&semester=202501
00140501,פרויקט בחומרים ותפקוד,202002 to 202002,1,90.500,14,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140501/,https://cheesefork.cf/?course=00140501&semester=202502
00140503,פרויקט מעבדתי בחומרי בניה (1),,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140503/,https://cheesefork.cf/?course=00140503&semester=202502
00140505,חומרי בנייה,201401 to 202501,13,77.274,2221,92.527,1.923,13,https://michael-maltsev.github.io/technion-histograms/00140505/,https://cheesefork.cf/?course=00140505&semester=202501
00140506,טכנולוגיה מתקדמת של בטון,201702 to 202402,6,84.006,99,97.030,4.000,1,https://michael-maltsev.github.io/technion-histograms/00140506/,https://cheesefork.cf/?course=00140506&semester=202502
00140512,אקוסטיקה בהנדסה אזרחית,201802 to 202402,7,90.784,230,99.652,5.000,1,https://michael-maltsev.github.io/technion-histograms/00140512/,https://cheesefork.cf/?course=00140512&semester=202502
00140513,בניה במתכות,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140513/,https://cheesefork.cf/?course=00140513&semester=202501
00140520,תפקוד פיזי ואקלימי של בניינים,201902 to 202002,2,77.375,40,89.800,3.333,3,https://michael-maltsev.github.io/technion-histograms/00140520/,https://cheesefork.cf/?course=00140520&semester=202502
00140600,סמינריון בניהול הבנייה,,0,,,,5.000,1,https://michael-maltsev.github.io/technion-histograms/00140600/,https://cheesefork.cf/?course=00140600&semester=202502
00140601,פרויקט בניהול הבנייה,,0,,,,3.000,1,https://michael-maltsev.github.io/technion-histograms/00140601/,https://cheesefork.cf/?course=00140601&semester=202502
00140602,נושא אישי בניהול הבנייה,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140602/,https://cheesefork.cf/?course=00140602&semester=202502
00140603,כלכלה הנדסית,201502 to 202402,13,75.320,2262,93.818,4.000,9,https://michael-maltsev.github.io/technion-histograms/00140603/,https://cheesefork.cf/?course=00140603&semester=202502
